PE_L1_1 PE_L1_2 PE_L1_3 PE_L1_4 PE_L1_5 PE_L1_6 PE_L1_7 PE_L1_8 PE_L1_9 PE_L2_1 PE_L2_2 PE_L2_3 PE_L2_4 PE_L2_5 PE_L2_6 PE_L2_7 PE_L2_8 PE_L2_9 PE_L3_1 PE_L3_2 PE_L3_3 PE_L3_4 PE_L3_5 PE_L3_6 PE_L3_7 PE_L3_8 PE_L3_9 
24 26 28 32 0 20 21 0 21 0 0 23 31 24 29 0 0 29 23 23 28 32 26 28 30 0 31 
24 26 28 32 0 20 21 0 21 0 0 23 31 24 29 0 0 29 23 23 28 32 26 28 30 0 31 
24 26 28 32 0 20 21 0 21 0 0 23 31 24 29 0 0 29 23 23 28 32 26 28 30 0 31 
24 26 28 32 0 20 21 0 21 0 0 23 31 24 29 0 0 29 23 23 28 32 26 28 30 0 31 
24 26 28 32 0 20 21 0 21 0 0 23 31 24 29 0 0 29 23 23 28 32 26 28 30 0 31 
24 26 28 32 0 20 21 0 21 0 0 23 31 24 29 0 0 29 23 23 28 32 26 28 30 0 31 
24 26 28 32 0 20 21 0 21 0 0 23 31 24 29 0 0 29 23 23 28 32 26 28 30 0 31 
24 26 28 32 0 20 21 0 21 0 0 23 31 24 29 0 0 29 23 23 28 32 26 28 30 0 31 
24 26 28 32 0 20 21 0 21 0 0 23 31 24 29 0 0 29 23 23 28 32 26 28 30 0 31 
24 26 28 32 0 20 21 0 21 0 0 23 31 24 29 0 0 29 23 23 28 32 26 28 30 0 31 
24 26 28 32 0 0 21 0 21 0 0 0 0 24 0 0 0 29 23 23 28 32 26 28 30 0 31 
24 26 28 32 0 0 21 0 21 0 0 0 0 24 0 0 0 29 23 23 28 32 26 28 30 0 31 
24 26 28 32 0 0 21 0 21 0 0 0 0 24 0 0 0 29 23 23 28 32 26 28 30 0 31 
24 26 28 32 0 0 21 0 21 0 0 0 0 24 0 0 0 29 23 23 28 32 26 28 30 0 31 
24 26 28 32 0 0 21 0 21 0 0 0 0 24 0 0 0 29 23 23 28 32 26 28 30 0 31 
24 26 28 32 0 0 21 0 21 0 0 0 0 24 0 0 0 29 23 23 28 32 26 28 30 0 31 
24 26 28 32 0 0 21 0 21 0 0 0 0 24 0 0 0 29 23 23 28 32 26 28 30 0 31 
24 26 28 32 0 0 21 0 21 0 0 0 0 24 0 0 0 29 23 23 28 32 26 28 30 0 31 
24 26 28 32 0 0 21 0 21 0 0 0 0 24 0 0 0 29 23 23 28 32 26 28 30 0 31 
24 26 28 32 0 0 21 0 21 0 0 0 0 24 0 0 0 29 23 23 28 32 26 28 30 0 31 
24 26 0 32 0 0 21 0 21 0 0 0 0 0 0 0 0 29 0 23 28 32 26 28 30 0 31 
24 26 0 32 0 0 21 0 21 0 0 0 0 0 0 0 0 29 0 23 28 32 26 28 30 0 31 
24 26 0 32 0 0 21 0 21 0 0 0 0 0 0 0 0 29 0 23 28 32 26 28 30 0 31 
24 26 0 32 0 0 21 0 21 0 0 0 0 0 0 0 0 29 0 23 28 32 26 28 30 0 31 
24 26 0 32 0 0 21 0 21 0 0 0 0 0 0 0 0 29 0 23 28 32 26 28 30 0 31 
24 26 0 32 0 0 21 0 21 0 0 0 0 0 0 0 0 29 0 23 28 32 26 28 30 0 31 
24 26 0 32 0 0 21 0 21 0 0 0 0 0 0 0 0 29 0 23 28 32 26 28 30 0 31 
24 26 0 32 0 0 21 0 21 0 0 0 0 0 0 0 0 29 0 23 28 32 26 28 30 0 31 
24 26 0 32 0 0 21 0 21 0 0 0 0 0 0 0 0 29 0 23 28 32 26 28 30 0 31 
24 26 0 32 0 0 21 0 21 0 0 0 0 0 0 0 0 29 0 23 28 32 26 28 30 0 31 
24 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29 0 0 0 0 26 28 30 0 0 
24 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29 0 0 0 0 26 28 30 0 0 
24 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29 0 0 0 0 26 28 30 0 0 
24 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29 0 0 0 0 26 28 30 0 0 
24 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29 0 0 0 0 26 28 30 0 0 
24 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29 0 0 0 0 26 28 30 0 0 
24 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29 0 0 0 0 26 28 30 0 0 
24 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29 0 0 0 0 26 28 30 0 0 
24 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29 0 0 0 0 26 28 30 0 0 
24 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29 0 0 0 0 26 28 30 0 0 
24 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29 0 0 0 0 26 28 30 0 0 
24 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29 0 0 0 0 26 28 30 0 0 
24 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29 0 0 0 0 26 28 30 0 0 
24 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29 0 0 0 0 26 28 30 0 0 
24 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29 0 0 0 0 26 28 30 0 0 
24 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29 0 0 0 0 26 28 30 0 0 
24 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29 0 0 0 0 26 28 30 0 0 
24 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29 0 0 0 0 26 28 30 0 0 
