PE_L1_1 PE_L1_2 PE_L1_3 PE_L1_4 PE_L1_5 PE_L1_6 PE_L1_7 PE_L1_8 PE_L1_9 PE_L2_1 PE_L2_2 PE_L2_3 PE_L2_4 PE_L2_5 PE_L2_6 PE_L2_7 PE_L2_8 PE_L2_9 PE_L3_1 PE_L3_2 PE_L3_3 PE_L3_4 PE_L3_5 PE_L3_6 PE_L3_7 PE_L3_8 PE_L3_9 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 28 84 54 25 64 28 34 38 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 28 84 54 25 64 28 34 38 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 28 84 54 25 64 28 34 38 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 28 84 54 25 64 28 34 38 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 28 84 54 25 64 28 34 38 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 28 84 54 25 64 28 34 38 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 28 84 54 25 64 28 34 38 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 28 84 54 25 64 28 34 38 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 28 84 54 25 64 28 34 38 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 28 84 54 25 64 28 34 38 
0 0 0 0 0 0 0 0 0 54 0 0 0 0 0 0 0 31 40 28 50 54 25 31 28 34 38 
0 0 0 0 0 0 0 0 0 54 0 0 0 0 0 0 0 31 40 28 50 54 25 31 28 34 38 
0 0 0 0 0 0 0 0 0 54 0 0 0 0 0 0 0 31 40 28 50 54 25 31 28 34 38 
0 0 0 0 0 0 0 0 0 54 0 0 0 0 0 0 0 31 40 28 50 54 25 31 28 34 38 
0 0 0 0 0 0 0 0 0 54 0 0 0 0 0 0 0 31 40 28 50 54 25 31 28 34 38 
0 0 0 0 0 0 0 0 0 54 0 0 0 0 0 0 0 31 40 28 50 54 25 31 28 34 38 
0 0 0 0 0 0 0 0 0 54 0 0 0 0 0 0 0 31 40 28 50 54 25 31 28 34 38 
0 0 0 0 0 0 0 0 0 54 0 0 0 0 0 0 0 31 40 28 50 54 25 31 28 34 38 
0 0 0 0 0 0 0 0 0 54 0 0 0 0 0 0 0 31 40 28 50 54 25 31 28 34 38 
0 0 0 0 0 0 0 0 0 54 0 0 0 0 0 0 0 31 40 28 50 54 25 31 28 34 38 
0 0 0 0 0 0 0 0 0 54 0 20 0 0 0 38 0 31 40 28 50 32 25 31 28 34 38 
0 0 0 0 0 0 0 0 0 54 0 20 0 0 0 38 0 31 40 28 50 32 25 31 28 34 38 
0 0 0 0 0 0 0 0 0 54 0 20 0 0 0 38 0 31 40 28 50 32 25 31 28 34 38 
0 0 0 0 0 0 0 0 0 54 0 20 0 0 0 38 0 31 40 28 50 32 25 31 28 34 38 
0 0 0 0 0 0 0 0 0 54 0 20 0 0 0 38 0 31 40 28 50 32 25 31 28 34 38 
0 0 0 0 0 0 0 0 0 54 0 20 0 0 0 38 0 31 40 28 50 32 25 31 28 34 38 
0 0 0 0 0 0 0 0 0 54 0 20 0 0 0 38 0 31 40 28 50 32 25 31 28 34 38 
0 0 0 0 0 0 0 0 0 54 0 20 0 0 0 38 0 31 40 28 50 32 25 31 28 34 38 
0 0 0 0 0 0 0 0 0 54 0 20 0 0 0 38 0 31 40 28 50 32 25 31 28 34 38 
0 0 0 0 0 0 0 0 0 54 0 20 0 0 0 38 0 31 40 28 50 32 25 31 28 34 38 
0 0 0 0 0 0 0 0 0 54 0 20 0 0 0 38 0 31 40 28 50 32 25 31 28 34 38 
0 0 0 0 0 0 0 0 0 54 0 20 0 0 0 38 0 31 40 28 50 32 25 31 28 34 38 
0 0 0 0 0 0 0 0 0 54 0 20 0 0 0 38 0 31 40 28 50 32 25 31 28 34 38 
0 0 0 0 0 0 0 0 0 54 0 20 0 0 0 38 0 31 40 28 50 32 25 31 28 34 38 
0 0 0 0 0 0 0 0 0 54 0 20 0 0 0 38 0 31 40 28 50 32 25 31 28 34 38 
0 0 0 0 0 0 0 0 0 54 0 20 0 0 0 38 0 31 40 28 50 32 25 31 28 34 38 
0 0 0 0 0 0 0 0 0 54 0 20 0 0 0 38 0 31 40 28 50 32 25 31 28 34 38 
0 0 0 0 0 0 0 0 0 54 0 20 0 0 0 38 0 31 40 28 50 32 25 31 28 34 38 
0 0 0 0 0 0 0 0 0 54 0 20 0 0 0 38 0 31 40 28 50 32 25 31 28 34 38 
0 0 0 0 0 0 0 0 0 54 0 20 0 0 0 38 0 31 40 28 50 32 25 31 28 34 38 
0 0 0 0 0 0 0 0 0 54 0 20 0 0 0 38 0 31 40 28 50 32 25 31 28 34 38 
0 0 0 0 0 0 0 0 0 54 0 20 0 0 0 38 0 31 40 28 50 32 25 31 28 34 38 
0 0 0 0 0 0 0 0 0 54 0 20 0 0 0 38 0 31 40 28 50 32 25 31 28 34 38 
0 0 0 0 0 0 0 0 0 54 0 20 0 0 0 38 0 31 40 28 50 32 25 31 28 34 38 
0 0 0 0 0 0 0 0 0 54 0 20 0 0 0 38 0 31 40 28 50 32 25 31 28 34 38 
0 0 0 0 0 0 0 0 0 54 0 20 0 0 0 38 0 31 40 28 50 32 25 31 28 34 38 
0 0 0 0 0 0 0 0 0 54 0 20 0 0 0 38 0 31 40 28 50 32 25 31 28 34 38 
0 0 0 0 0 0 0 0 0 54 0 20 0 0 0 38 0 31 40 28 50 32 25 31 28 34 38 
0 0 0 0 0 0 0 0 0 54 0 20 0 0 0 38 0 31 40 28 50 32 25 31 28 34 38 
0 0 0 0 0 0 0 0 0 54 0 20 0 0 0 38 0 31 40 28 50 32 25 31 28 34 38 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 31 40 28 50 0 25 31 28 34 38 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 31 40 28 50 0 25 31 28 34 38 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 31 40 28 50 0 25 31 28 34 38 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 31 40 28 50 0 25 31 28 34 38 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 31 40 28 50 0 25 31 28 34 38 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 31 40 28 50 0 25 31 28 34 38 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 31 40 28 50 0 25 31 28 34 38 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 31 40 28 50 0 25 31 28 34 38 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 31 40 28 50 0 25 31 28 34 38 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 31 40 28 50 0 25 31 28 34 38 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 34 40 28 50 0 25 31 28 34 38 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 34 40 28 50 0 25 31 28 34 38 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 34 40 28 50 0 25 31 28 34 38 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 34 40 28 50 0 25 31 28 34 38 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 34 40 28 50 0 25 31 28 34 38 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 34 40 28 50 0 25 31 28 34 38 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 34 40 28 50 0 25 31 28 34 38 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 34 40 28 50 0 25 31 28 34 38 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 34 40 28 50 0 25 31 28 34 38 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 34 40 28 50 0 25 31 28 34 38 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 34 40 28 50 26 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 34 40 28 50 26 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 34 40 28 50 26 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 34 40 28 50 26 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 34 40 28 50 26 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 34 40 28 50 26 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 34 40 28 50 26 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 34 40 28 50 26 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 34 40 28 50 26 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 34 40 28 50 26 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 34 40 28 50 26 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 34 40 28 50 26 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 34 40 28 50 26 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 34 40 28 50 26 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 34 40 28 50 26 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 34 40 28 50 26 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 34 40 28 50 26 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 34 40 28 50 26 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 34 40 28 50 26 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 34 40 28 50 26 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 34 40 28 50 26 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 34 40 28 50 26 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 34 40 28 50 26 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 34 40 28 50 26 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 34 40 28 50 26 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 34 40 28 50 26 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 34 40 28 50 26 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 34 40 28 50 26 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 34 40 28 50 26 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 34 40 28 50 26 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 34 40 28 50 26 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 34 40 28 50 26 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 34 40 28 50 26 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 34 40 28 50 26 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 34 40 28 50 26 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 34 40 28 50 26 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 34 40 28 50 26 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 34 40 28 50 26 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 34 40 28 50 26 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 34 40 28 50 26 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 34 40 28 50 26 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 34 40 28 50 26 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 34 40 28 50 26 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 34 40 28 50 26 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 34 40 28 50 26 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 34 40 28 50 26 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 34 40 28 50 26 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 34 40 28 50 26 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 34 40 28 50 26 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 34 40 28 50 26 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 0 40 28 50 26 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 0 40 28 50 26 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 0 40 28 50 26 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 0 40 28 50 26 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 0 40 28 50 26 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 0 40 28 50 26 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 0 40 28 50 26 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 0 40 28 50 26 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 0 40 28 50 26 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 54 0 45 0 0 0 38 0 0 40 28 50 26 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 28 81 79 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 28 81 79 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 28 81 79 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 28 81 79 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 28 81 79 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 28 81 79 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 28 81 79 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 28 81 79 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 28 81 79 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 28 81 79 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 28 81 79 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 28 81 79 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 28 81 79 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 28 81 79 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 28 81 79 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 28 81 79 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 28 81 79 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 28 81 79 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 28 81 79 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 28 81 79 25 31 28 34 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 68 81 79 87 31 28 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 68 81 79 87 31 28 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 68 81 79 87 31 28 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 68 81 79 87 31 28 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 68 81 79 87 31 28 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 68 81 79 87 31 28 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 68 81 79 87 31 28 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 68 81 79 87 31 28 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 68 81 79 87 31 28 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 68 81 79 87 31 28 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 87 31 28 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 87 31 28 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 87 31 28 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 87 31 28 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 87 31 28 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 87 31 28 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 87 31 28 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 87 31 28 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 87 31 28 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 87 31 28 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 87 31 28 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 87 31 28 94 24 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 68 81 79 87 31 28 94 24 
