Nr tasks 58, Time 3.246136426925659, Makespan 259, Max Temp 391.16, Top 1 percent highs 389.8226609442058 
Nr tasks 59, Time 3.2186708450317383, Makespan 259, Max Temp 391.16, Top 1 percent highs 389.8226609442058 
Nr tasks 60, Time 3.306225299835205, Makespan 259, Max Temp 391.16, Top 1 percent highs 389.8226824034332 
Nr tasks 61, Time 3.406816005706787, Makespan 259, Max Temp 391.16, Top 1 percent highs 389.8226824034332 
Nr tasks 62, Time 3.4897069931030273, Makespan 259, Max Temp 391.16, Top 1 percent highs 389.8279184549356 
Nr tasks 63, Time 3.4557254314422607, Makespan 259, Max Temp 391.16, Top 1 percent highs 389.8335836909877 
Nr tasks 64, Time 3.8039069175720215, Makespan 276, Max Temp 391.16, Top 1 percent highs 389.79183467742007 
Nr tasks 65, Time 3.813702344894409, Makespan 287, Max Temp 391.16, Top 1 percent highs 389.76273255814016 
Nr tasks 66, Time 4.201506853103638, Makespan 287, Max Temp 391.16, Top 1 percent highs 389.76273255814016 
Nr tasks 67, Time 4.4011828899383545, Makespan 306, Max Temp 391.16, Top 1 percent highs 389.700327272728 
Nr tasks 68, Time 4.456066131591797, Makespan 306, Max Temp 391.16, Top 1 percent highs 389.7504363636368 
Nr tasks 69, Time 4.67389440536499, Makespan 306, Max Temp 391.16, Top 1 percent highs 389.7504363636368 
Nr tasks 70, Time 5.156752347946167, Makespan 306, Max Temp 391.16, Top 1 percent highs 389.7504363636368 
Nr tasks 71, Time 5.1286609172821045, Makespan 306, Max Temp 391.16, Top 1 percent highs 389.7504363636368 
Nr tasks 72, Time 5.194734573364258, Makespan 314, Max Temp 391.16, Top 1 percent highs 389.7199823008853 
Nr tasks 73, Time 5.482775688171387, Makespan 314, Max Temp 391.16, Top 1 percent highs 389.7199823008853 
Nr tasks 74, Time 5.499396324157715, Makespan 328, Max Temp 391.16, Top 1 percent highs 389.6671355932209 
Nr tasks 75, Time 6.07748818397522, Makespan 347, Max Temp 391.16, Top 1 percent highs 389.593557692308 
Nr tasks 76, Time 6.239461660385132, Makespan 347, Max Temp 391.16, Top 1 percent highs 389.5976282051285 
Nr tasks 77, Time 6.6367270946502686, Makespan 347, Max Temp 391.16, Top 1 percent highs 389.5976923076926 
Nr tasks 78, Time 6.712832450866699, Makespan 347, Max Temp 391.16, Top 1 percent highs 389.5977083333336 
Nr tasks 79, Time 6.536468505859375, Makespan 347, Max Temp 391.16, Top 1 percent highs 389.59772435897463 
