Nrtasks,Time,Makespan,MaxTemp,Top1percenthighs,GAP
1,0.00548243522644043,15,344.17,344.17,0.0%
2,0.005994558334350586,16,342.11,342.11,6.25%
3,0.009401321411132812,20,345.35,345.32194444444417,5.0%
4,0.010563850402832031,19,349.27,349.03794117647055,0.0%
5,0.01247859001159668,19,360.38,360.2326470588236,0.0%
6,0.04123950004577637,19,360.6,360.21382352941197,0.0%
7,0.02418065071105957,19,369.87,369.3720588235294,0.0%
8,0.099273681640625,29,382.6,382.50173076923085,6.896551724137931%
9,0.07714176177978516,34,387.54,387.3472131147541,0.0%
10,0.15878748893737793,34,390.09,389.68885245901646,0.0%
11,0.20239496231079102,34,389.27,389.1209836065574,0.0%
12,0.4161558151245117,34,388.75,388.65672131147534,5.88235294117647%
13,0.5982873439788818,36,389.92,389.69625,11.111111101975268%
14,2.776883125305176,37,391.19,390.8240909090907,24.582676372286468%
15,2.0554609298706055,38,389.92,389.5086764705881,7.894736842105263%
16,3.6175105571746826,41,392.61,391.6563013698632,14.634146332718611%
17,20.676889896392822,54,391.74,391.3841237113402,9.25925925925926%
18,38.3762526512146,54,392.49,391.69649484536075,24.074074074074073%
19,6.792896032333374,55,393.54,393.3384848484849,1.8181818181818181%
20,76.89420580863953,58,396.59,395.7893269230771,24.712651339830146%
21,260.44105076789856,61,393.95,393.85853211009163,24.59016393442623%
22,380.1241600513458,63,393.68,393.6108849557522,23.809523809523807%
23,168.496346950531,65,396.93,396.4298290598289,24.615384615384617%
24,421.49960494041443,67,396.81,396.20758333333316,23.88059701492537%
25,209.1659963130951,68,396.37,395.9541803278688,25.0%
26,367.21165442466736,68,396.17,395.6790163934427,25.0%
27,2177.1179411411285,72,396.84,396.24410852713197,25.000000000002686%

