Nrtasks,Time,Makespan,MaxTemp,AvgTemp
1,0.07084894180297852,15,342.12,325.60948123620346
2,0.031508684158325195,15,349.54,326.3574172185431
3,0.042330265045166016,19,355.19,332.6357009889469
4,0.0422666072845459,19,373.14,333.1049272833042
5,0.04369401931762695,19,363.74,340.5683333333333
6,0.04360699653625488,19,376.83,341.7434031413612
7,0.04301810264587402,19,390.44,340.34600349040136
8,0.06092643737792969,20,462.0,362.1005970149254
9,0.04718422889709473,20,470.78,381.3010862354892
10,0.04509091377258301,20,441.11,380.3243338861251
11,0.04834103584289551,20,460.62,382.960442233278
12,0.04752159118652344,20,461.03,384.1364013266998
13,0.043959617614746094,20,443.48,393.2382835820896
14,0.04745054244995117,20,451.87,394.6357545605306
15,0.04789447784423828,20,492.0,403.5377584300719
16,0.05546307563781738,20,512.59,410.9227611940298
17,0.04924130439758301,20,555.01,439.0515671641791
18,0.0512998104095459,20,540.28,433.4783720287452
19,0.0477447509765625,20,514.24,437.35197070204526
20,0.049746036529541016,20,545.83,449.319303482587
21,0.09193897247314453,20,558.74,458.064516307352
22,0.051259756088256836,20,523.41,457.6985295743506
23,0.051485300064086914,20,615.93,482.87934770591477
24,0.04905200004577637,20,609.8,482.3675317855168
25,0.05432558059692383,20,606.52,483.64759259259256
26,0.050197601318359375,20,570.23,484.01465726920935
27,0.07509136199951172,20,583.45,499.0447540077391
28,0.05016827583312988,20,582.73,500.49284964068556
29,0.05399298667907715,20,611.01,506.11415422885574
30,0.057016849517822266,20,632.97,514.0131592039802

