Nr tasks 57, Time 1.4539425373077393, Makespan 175, Max Temp 403.7, Top 1 percent highs 400.4189841269841 
Nr tasks 58, Time 1.429093360900879, Makespan 184, Max Temp 403.7, Top 1 percent highs 400.3940785498489 
Nr tasks 59, Time 1.4863221645355225, Makespan 184, Max Temp 403.7, Top 1 percent highs 400.39422960725074 
Nr tasks 60, Time 1.5292484760284424, Makespan 184, Max Temp 404.6, Top 1 percent highs 400.5423564954683 
Nr tasks 61, Time 1.6072466373443604, Makespan 184, Max Temp 404.6, Top 1 percent highs 400.5424773413897 
Nr tasks 62, Time 1.6351985931396484, Makespan 184, Max Temp 404.6, Top 1 percent highs 400.74870090634454 
Nr tasks 63, Time 1.659536361694336, Makespan 184, Max Temp 405.4, Top 1 percent highs 400.89894259818743 
Nr tasks 64, Time 1.7022297382354736, Makespan 201, Max Temp 405.4, Top 1 percent highs 400.8185041551249 
Nr tasks 65, Time 1.7559638023376465, Makespan 201, Max Temp 405.4, Top 1 percent highs 400.8186149584491 
Nr tasks 66, Time 1.8293395042419434, Makespan 201, Max Temp 405.4, Top 1 percent highs 400.8186980609421 
Nr tasks 67, Time 1.9624168872833252, Makespan 201, Max Temp 405.4, Top 1 percent highs 400.8189196675903 
Nr tasks 68, Time 1.9014012813568115, Makespan 201, Max Temp 405.4, Top 1 percent highs 400.8194736842107 
Nr tasks 69, Time 1.9744329452514648, Makespan 201, Max Temp 405.4, Top 1 percent highs 400.8794182825484 
Nr tasks 70, Time 2.008817434310913, Makespan 201, Max Temp 405.4, Top 1 percent highs 400.87950138504146 
Nr tasks 71, Time 2.1671061515808105, Makespan 216, Max Temp 405.4, Top 1 percent highs 400.80922680412374 
Nr tasks 72, Time 2.1058733463287354, Makespan 216, Max Temp 405.4, Top 1 percent highs 400.8093298969072 
Nr tasks 73, Time 2.1686995029449463, Makespan 216, Max Temp 405.4, Top 1 percent highs 400.8094587628866 
Nr tasks 74, Time 2.297286033630371, Makespan 230, Max Temp 405.4, Top 1 percent highs 400.7413768115944 
Nr tasks 75, Time 2.316894769668579, Makespan 230, Max Temp 405.4, Top 1 percent highs 400.7415700483094 
Nr tasks 76, Time 2.3727545738220215, Makespan 230, Max Temp 405.4, Top 1 percent highs 400.7725845410625 
Nr tasks 77, Time 2.527984619140625, Makespan 230, Max Temp 405.4, Top 1 percent highs 400.7727294685987 
Nr tasks 78, Time 2.597219467163086, Makespan 235, Max Temp 405.4, Top 1 percent highs 400.75063829787206 
Nr tasks 79, Time 2.5143067836761475, Makespan 253, Max Temp 405.4, Top 1 percent highs 400.6727692307693 
Nr tasks 80, Time 2.6045029163360596, Makespan 253, Max Temp 405.4, Top 1 percent highs 400.6729230769232 
