Nrtasks,Time,Makespan,MaxTemp,Top1percenthighs,GAP
1,0.0035970211029052734,15,342.12,342.12000000000006,0.0%
2,0.005692481994628906,16,345.04,345.04000000000013,6.25%
3,0.00797414779663086,20,348.28,348.2366666666666,5.0%
4,0.007390737533569336,20,362.88,362.335,5.0%
5,0.010737180709838867,19,368.07,367.80176470588236,0.0%
6,0.014572858810424805,19,369.19,368.5538235294118,0.0%
7,0.02576422691345215,19,366.86,366.6682352941177,0.0%
8,0.024811267852783203,20,390.61,390.4605555555555,0.0%
9,0.03998398780822754,20,410.66,410.1877777777778,0.0%
10,0.03508949279785156,20,407.38,407.06388888888887,0.0%
11,0.04414081573486328,20,411.3,408.6000000000001,0.0%
12,0.07834315299987793,20,439.65,437.303611111111,0.0%
13,0.0554499626159668,20,435.53,430.51222222222225,0.0%
14,0.06374931335449219,20,438.03,437.3616666666666,0.0%
15,0.07587528228759766,20,432.56,432.3144444444445,0.0%
16,0.10549402236938477,20,440.76,439.9461111111111,0.0%
17,0.24018192291259766,26,469.13,468.117391304348,23.076923076923077%
18,0.5241544246673584,24,472.73,470.5379069767441,16.666666666666664%
19,2.315988302230835,27,448.88,448.5374999999999,22.222222214156368%
20,4.66715145111084,27,466.31,465.0841666666667,22.22222221415642%
21,7.084395885467529,27,477.2,476.4770833333334,22.222220729138606%
22,8.857426643371582,27,456.63,456.2714583333334,14.814814814814813%
23,13.754457473754883,30,479.95,479.460925925926,23.333333325411107%
24,11.006770849227905,30,462.16,461.4637037037036,3.332301178697132e-05%
25,15.042110681533813,30,481.18,477.6949999999998,23.33333163015662%
26,12.76537299156189,30,466.89,465.68907407407414,23.333333333333332%
27,21.87510108947754,31,484.71,483.9787272727272,19.35483870967742%
28,43.78784203529358,31,471.79,471.04581818181816,22.580645153298637%
29,109.74029922485352,31,496.59,494.31018181818183,22.58064516129032%
30,91.45124673843384,32,478.19,476.83368421052626,25.0%
31,233.78656888008118,32,476.68,474.4375438596492,24.90234375%
32,119.23920369148254,32,498.26,497.02543859649126,21.875%
33,341.33489179611206,32,505.67,504.5514035087719,25.0%
34,195.42508125305176,33,499.81,498.66355932203413,24.242424242424242%
35,541.3454155921936,32,509.33,507.9363157894736,21.875%
36,1200.5929510593414,35,520.67,515.504761904762,42.857142851265294%

