Nrtasks,Time,Makespan,MaxTemp,GAP
1,0.08135509490966797,15,345.05,0.0%
2,0.05611109733581543,16,342.11,6.25%
3,0.08047938346862793,19,344.85,0.0%
4,0.10503482818603516,19,355.83,0.0%
5,0.14035892486572266,19,371.02,0.0%
6,0.1754608154296875,19,365.07,0.0%
7,0.2265033721923828,19,394.44,0.0%
8,0.33687376976013184,20,392.57,0.0%
9,2.1547014713287354,24,398.37,14.893617021276595%
10,3.6122055053710938,22,398.67,9.090909090909092%
11,4.4157774448394775,23,398.37,13.043478260869565%
12,17.8808376789093,26,399.87,23.076923076923066%
13,296.4834442138672,28,398.61,24.999999992232137%
14,656.4721834659576,28,398.35,24.999999555056277%
15,1200.660184621811,30,399.34,33.333333319554484%

