Nr tasks 1, Time 0.05071687698364258, Makespan 15, Max Temp 345.05 
Nr tasks 2, Time 0.027991533279418945, Makespan 15, Max Temp 343.67 
Nr tasks 3, Time 0.04779958724975586, Makespan 19, Max Temp 344.85 
Nr tasks 4, Time 0.07434606552124023, Makespan 19, Max Temp 355.83 
Nr tasks 5, Time 0.10903596878051758, Makespan 19, Max Temp 371.02 
Nr tasks 6, Time 0.1552562713623047, Makespan 19, Max Temp 365.07 
Nr tasks 7, Time 0.18972110748291016, Makespan 19, Max Temp 394.44 
Nr tasks 8, Time 0.3286738395690918, Makespan 20, Max Temp 392.57 
Nr tasks 9, Time 2.473618984222412, Makespan 20, Max Temp 398.68 
Nr tasks 10, Time 2.4812724590301514, Makespan 25, Max Temp 398.18 
Nr tasks 11, Time 2.5004167556762695, Makespan 26, Max Temp 398.18 
Nr tasks 12, Time 2.5279712677001953, Makespan 26, Max Temp 398.22 
Nr tasks 13, Time 2.5524344444274902, Makespan 36, Max Temp 404.63 
Nr tasks 14, Time 2.582362174987793, Makespan 36, Max Temp 399.97 
Nr tasks 15, Time 2.6485183238983154, Makespan 36, Max Temp 400.85 
Nr tasks 16, Time 3.0336782932281494, Makespan 40, Max Temp 397.99 
Nr tasks 17, Time 25.334813594818115, Makespan 41, Max Temp 401.46 
Nr tasks 18, Time 89.5431637763977, Makespan 41, Max Temp 401.07 
Nr tasks 19, Time 89.55375099182129, Makespan 59, Max Temp 400.62 
Nr tasks 20, Time 89.56544709205627, Makespan 59, Max Temp 402.42 
Nr tasks 21, Time 89.58974552154541, Makespan 59, Max Temp 400.8 
Nr tasks 22, Time 89.61529016494751, Makespan 59, Max Temp 400.85 
Nr tasks 23, Time 89.9778311252594, Makespan 59, Max Temp 401.01 
Nr tasks 24, Time 90.13779187202454, Makespan 59, Max Temp 401.02 
Nr tasks 25, Time 91.08460021018982, Makespan 59, Max Temp 401.03 
Nr tasks 26, Time 121.24050498008728, Makespan 62, Max Temp 401.0 
Nr tasks 27, Time 142.37288355827332, Makespan 66, Max Temp 401.03 
Nr tasks 28, Time 142.3805091381073, Makespan 72, Max Temp 400.91 
Nr tasks 29, Time 142.3974199295044, Makespan 72, Max Temp 405.79 
Nr tasks 30, Time 142.4233911037445, Makespan 82, Max Temp 400.81 
Nr tasks 31, Time 142.4644958972931, Makespan 82, Max Temp 400.83 
Nr tasks 32, Time 142.50794672966003, Makespan 82, Max Temp 406.5 
Nr tasks 33, Time 142.57082533836365, Makespan 82, Max Temp 400.86 
Nr tasks 34, Time 142.675883769989, Makespan 82, Max Temp 400.9 
Nr tasks 35, Time 142.9084770679474, Makespan 82, Max Temp 400.92 
Nr tasks 36, Time 143.59545516967773, Makespan 82, Max Temp 400.96 
Nr tasks 37, Time 143.60324382781982, Makespan 96, Max Temp 400.79 
Nr tasks 38, Time 143.6240200996399, Makespan 96, Max Temp 400.79 
Nr tasks 39, Time 143.64230799674988, Makespan 96, Max Temp 400.82 
Nr tasks 40, Time 143.6679151058197, Makespan 96, Max Temp 400.85 
Nr tasks 41, Time 143.70421719551086, Makespan 97, Max Temp 400.87 
Nr tasks 42, Time 143.77518439292908, Makespan 101, Max Temp 400.9 
Nr tasks 43, Time 148.9985990524292, Makespan 101, Max Temp 400.98 
Nr tasks 44, Time 163.1321976184845, Makespan 107, Max Temp 400.96 
Nr tasks 45, Time 554.3000347614288, Makespan 111, Max Temp 400.98 
Nr tasks 46, Time 554.3072471618652, Makespan 113, Max Temp 400.96 
Nr tasks 47, Time 554.3217225074768, Makespan 131, Max Temp 400.8 
Nr tasks 48, Time 554.3568205833435, Makespan 131, Max Temp 400.87 
Nr tasks 49, Time 554.3737936019897, Makespan 131, Max Temp 400.92 
Nr tasks 50, Time 554.4329221248627, Makespan 131, Max Temp 400.93 
