Nrtasks,Time,Makespan,MaxTemp,Avgtemp
0, 0.007495880126953125, 0, 318.15, 318.15000000000003 
10, 0.021853208541870117, 20, 464.61, 410.5215485074627 
20, 0.04562044143676758, 51, 469.47, 392.8755283757338 
30, 0.06186032295227051, 70, 483.09, 398.2034415121256 
40, 0.06975769996643066, 77, 485.09, 405.9394617380024 
50, 0.12666583061218262, 132, 492.14, 391.29755677517045 
60, 0.1226038932800293, 138, 501.44, 401.6812137943526 
70, 0.1232762336730957, 138, 489.23, 413.25265749456884 
80, 0.18081068992614746, 195, 497.56, 398.60936827268057 
90, 0.180739164352417, 200, 501.16, 402.7448988005994 
100, 0.23221325874328613, 247, 501.16, 395.7629785511931 
110, 0.2643876075744629, 282, 503.29, 393.5961791031547 
120, 0.31322574615478516, 336, 507.62, 388.3580117524559 
130, 0.3705308437347412, 385, 505.79, 386.7348571799556 
140, 0.42475366592407227, 418, 507.47, 386.08746053575834 
150, 0.4464988708496094, 462, 502.65, 385.0536115018413 
160, 0.5187923908233643, 513, 523.77, 383.7338491522168 
170, 0.5511505603790283, 538, 515.96, 384.30944271511305 
180, 0.5968616008758545, 567, 512.2, 384.0338956974105 
190, 0.6127176284790039, 578, 513.45, 386.16209111745803 
200, 0.652165412902832, 610, 518.69, 386.41292329126577 
210, 0.6988403797149658, 672, 521.04, 385.0881578262159 
220, 0.8104915618896484, 735, 526.7, 383.7635087062981 
230, 0.7943699359893799, 739, 520.57, 385.0146160871327 
240, 0.8510787487030029, 763, 512.51, 386.23198892674765 
250, 0.8868803977966309, 807, 521.52, 386.05672995911146 
260, 0.8956749439239502, 816, 513.16, 388.0669198014933 
270, 0.9863131046295166, 843, 527.07, 388.4463303581998 
280, 0.9482154846191406, 843, 517.87, 391.0971606274438 
290, 1.0286288261413574, 870, 525.23, 391.0609631076858 
300, 1.080331802368164, 929, 521.25, 389.7717013776749 
310, 1.1028859615325928, 944, 514.75, 390.6385557673952 
320, 1.146630048751831, 976, 515.29, 389.98155209507036 
330, 1.2431855201721191, 1006, 514.6, 389.96338485239784 
340, 1.2478609085083008, 1016, 525.36, 391.6515078486342 
350, 1.3309400081634521, 1089, 519.62, 389.29035901202576 
360, 1.371108055114746, 1098, 513.49, 390.5566317958263 
370, 1.4705641269683838, 1118, 521.71, 391.1661723012221 
380, 1.4178292751312256, 1118, 521.05, 393.19298217958743 
390, 1.4835002422332764, 1136, 518.21, 394.11509110113207 
400, 1.5152947902679443, 1178, 520.11, 393.6323253543819 
410, 1.633882761001587, 1198, 515.83, 394.02432539019895 
