Nrtasks,Time,Makespan,MaxTemp,Top1percenthighs
1,0.0032358169555664062,15,343.92,343.92
2,0.0075953006744384766,15,349.43,348.84166666666664
3,0.0076541900634765625,19,364.93,364.92266666666666
4,0.006493806838989258,19,372.35,372.08733333333333
5,0.00994420051574707,19,366.03,365.9733333333333
6,0.010881423950195312,19,371.41,371.22533333333337
7,0.013765096664428711,19,374.77,374.21
8,0.09029293060302734,34,387.24,387.191111111111
9,0.14729738235473633,39,397.73,397.65354838709686
10,0.08192992210388184,39,397.78,397.71419354838713
11,0.22713041305541992,39,397.88,397.82322580645166
12,0.2924818992614746,40,397.76,397.6887499999999
13,2.9019830226898193,41,398.16,398.12468750000016
14,4.574733734130859,44,398.23,398.2094285714289
15,4.17907977104187,51,397.87,397.7917500000001
16,7.257143974304199,54,398.06,398.01069767441857
17,26.84295153617859,71,397.77,397.64517857142863
18,30.826761722564697,71,397.74,397.6125
19,46.83224558830261,72,398.07,397.99894736842094

