Nr tasks 57, Time 0.3449432849884033, Makespan 232, Max Temp 402.53, Top 1 percent highs 400.2363783783783 
Nr tasks 58, Time 0.3832864761352539, Makespan 232, Max Temp 402.53, Top 1 percent highs 400.2368108108108 
Nr tasks 59, Time 0.37667346000671387, Makespan 232, Max Temp 402.53, Top 1 percent highs 400.24151351351315 
Nr tasks 60, Time 0.37921142578125, Makespan 232, Max Temp 402.53, Top 1 percent highs 400.3238918918917 
Nr tasks 61, Time 0.43278932571411133, Makespan 245, Max Temp 402.53, Top 1 percent highs 400.26908163265296 
Nr tasks 62, Time 0.4192960262298584, Makespan 245, Max Temp 402.53, Top 1 percent highs 400.26918367346923 
Nr tasks 63, Time 0.41829538345336914, Makespan 245, Max Temp 402.53, Top 1 percent highs 400.3197448979593 
Nr tasks 64, Time 0.429304838180542, Makespan 262, Max Temp 402.53, Top 1 percent highs 400.26296650717705 
Nr tasks 65, Time 0.4443199634552002, Makespan 262, Max Temp 402.53, Top 1 percent highs 400.26377990430615 
Nr tasks 66, Time 0.4622480869293213, Makespan 262, Max Temp 402.53, Top 1 percent highs 400.2642105263158 
Nr tasks 67, Time 0.4908478260040283, Makespan 262, Max Temp 402.53, Top 1 percent highs 400.2653110047847 
Nr tasks 68, Time 0.48752474784851074, Makespan 262, Max Temp 402.53, Top 1 percent highs 400.51119617224873 
Nr tasks 69, Time 0.5084547996520996, Makespan 262, Max Temp 402.53, Top 1 percent highs 400.53071770334935 
Nr tasks 70, Time 0.5228378772735596, Makespan 262, Max Temp 402.54, Top 1 percent highs 400.53138755980865 
Nr tasks 71, Time 0.537574291229248, Makespan 277, Max Temp 402.53, Top 1 percent highs 400.4828959276017 
Nr tasks 72, Time 0.554133415222168, Makespan 277, Max Temp 402.53, Top 1 percent highs 400.483438914027 
Nr tasks 73, Time 0.5693392753601074, Makespan 277, Max Temp 402.54, Top 1 percent highs 400.48398190045236 
Nr tasks 74, Time 0.5835213661193848, Makespan 277, Max Temp 402.55, Top 1 percent highs 401.0071945701357 
Nr tasks 75, Time 0.617361307144165, Makespan 296, Max Temp 402.55, Top 1 percent highs 400.94050847457623 
Nr tasks 76, Time 0.6305441856384277, Makespan 296, Max Temp 402.55, Top 1 percent highs 400.94072033898306 
