Nrtasks,Time,Makespan,MaxTemp,AvgTemp
1,0.0028259754180908203,15,382.29,345.3306291390723
2,0.005409955978393555,15,402.79,351.8976572847682
3,0.005979299545288086,19,445.39,371.225752617801
4,0.006457805633544922,19,458.21,374.7182657068063
5,0.01793670654296875,27,406.24,369.71881457564575
6,0.024487733840942383,27,413.07,370.0225046125462
7,0.027065515518188477,27,458.88,371.8830258302581
8,0.019929885864257812,27,460.57,393.7490590405904
9,0.1894543170928955,33,461.22,390.41677492447127
10,0.14635157585144043,33,456.41,396.51875755287006
11,0.29579591751098633,33,454.37,397.92548716012084
12,1.8119778633117676,37,454.34,393.9512432614555
13,0.17813897132873535,49,463.92,387.492151221996
14,0.41946864128112793,52,464.76,384.42005278310944
15,0.6479802131652832,55,453.1,383.328423321234
16,0.9001665115356445,55,456.13,385.0001996370235
17,1.2569129467010498,55,460.17,392.6059573502722
18,0.5969569683074951,65,462.54,386.85545890937004
19,1.4481234550476074,65,462.53,390.4091474654376
20,3.469485282897949,72,463.91,386.93637135922324
21,1.870408296585083,89,457.57,379.11945987654326
22,1.4593017101287842,89,466.49,384.6368013468014
23,2.2126734256744385,89,457.79,388.0442424242428
24,3.3526952266693115,105,460.67,381.21344671741184
25,4.514319896697998,105,462.4,382.4022335870601
26,84.18944597244263,124,464.42,377.7522481869459
27,22.16365885734558,127,457.89,376.6904376475215
28,37.71528482437134,127,458.66,377.7374498426435
29,32.92414140701294,139,458.3,374.38046818835346
30,103.5343599319458,139,464.53,378.97141355140224

