Nrtasks,Time,Makespan,MaxTemp,Top1percenthighs,GAP
1,0.002434253692626953,15,343.92,343.92,0.0%
2,0.0043828487396240234,16,344.45,344.2366666666666,6.25%
3,0.010426521301269531,20,352.38,352.36687500000005,5.0%
4,0.0064737796783447266,20,352.46,352.4462499999999,5.0%
5,0.009144783020019531,19,366.03,365.9733333333333,0.0%
6,0.010931968688964844,19,371.41,371.22533333333337,0.0%
7,0.012828350067138672,19,374.77,374.21,0.0%
8,0.054212093353271484,35,387.21,387.15928571428566,8.571428571428582%
9,0.08982634544372559,39,397.73,397.65354838709686,24.983563445101908%
10,0.07700967788696289,40,397.7,397.61968749999994,2.5%
11,0.21448254585266113,39,397.83,397.76322580645143,10.256410256410255%
12,0.1450183391571045,40,397.78,397.70875,22.5%
13,0.2252335548400879,43,398.24,398.2141176470591,9.302325581395365%
14,0.6164770126342773,45,398.05,397.99888888888864,23.98624091381101%
15,1.4463684558868408,51,397.87,397.7917500000001,23.529411756908868%
16,2.1657216548919678,54,398.11,398.06837209302313,24.074074074074073%
17,4.067282199859619,71,398.0,397.91803571428557,21.12676056338028%
18,4.433934688568115,71,398.02,397.94910714285726,19.71830985915495%
19,8.168364524841309,73,397.79,397.6610344827587,23.287671232876527%
20,45.148231506347656,79,398.19,398.14349206349186,24.05063291139253%
21,142.8451864719391,81,399.39,398.0714062500002,24.691358024691535%
22,381.7970540523529,83,398.03,397.94772727272715,24.096385542168793%
23,596.53608751297,98,397.74,397.5623076923076,24.489795918367925%

