Nrtasks,Time,Makespan,MaxTemp
1,0.02310323715209961,15,346.84
2,0.040795326232910156,15,346.07
3,0.03786826133728027,19,353.36
4,0.04614853858947754,19,352.88
5,0.05707859992980957,19,384.26
6,0.06673574447631836,19,385.19
7,0.08446121215820312,19,384.1
8,0.7002370357513428,20,398.52
9,3.63899564743042,35,396.42
10,26.15006113052368,35,398.55
11,11.833223342895508,35,400.23
12,9.876435279846191,35,397.95
13,39.5224449634552,36,397.62
14,418.46606707572937,36,399.5

