Nrtasks,Time,Makespan,MaxTemp,Top1percenthighs,GAP
1,0.003499746322631836,15,343.92,343.92,0.0%
2,0.003980875015258789,16,344.45,344.2366666666666,6.25%
3,0.006232500076293945,20,364.85,364.82750000000004,5.0%
4,0.008207559585571289,19,355.24,355.02399999999994,0.0%
5,0.007688283920288086,19,372.41,371.7773333333334,0.0%
6,0.010947227478027344,19,375.64,375.3146666666666,0.0%
7,0.012684106826782227,19,383.58,383.26800000000003,0.0%
8,0.017393112182617188,24,401.18,401.0484210526317,16.666666666666664%
9,0.13283491134643555,27,411.0,410.87285714285713,20.58823639261524%
10,0.16248703002929688,27,408.47,408.38904761904763,0.0%
11,0.234238862991333,27,405.71,405.52142857142843,22.22222222222222%
12,0.3487105369567871,27,412.71,412.6214285714286,3.7037037037034404%
13,0.3140065670013428,31,416.5,415.795,0.0%
14,0.630955696105957,31,417.3,416.91166666666663,0.0%
15,1.106492042541504,34,415.29,415.0877777777777,2.941176470588235%
16,2.6489927768707275,36,424.11,423.76285714285706,24.427489070670603%
17,1.930645227432251,36,435.61,435.3639285714286,11.111111101728385%
18,2.0273778438568115,36,436.24,435.7807142857144,2.7777777777777777%
19,6.52344012260437,38,426.31,426.2426666666666,21.052631578947366%
20,3.7004783153533936,38,439.53,439.4403333333333,7.894736842105263%
21,9.740826606750488,41,437.94,437.704375,21.951219504199873%
22,11.879515886306763,41,438.56,438.38,21.951219504199845%
23,19.332796335220337,46,439.32,439.0269444444445,23.91304347826087%
24,17.88131093978882,46,440.38,440.0280555555557,23.91304347826087%
25,27.92832040786743,46,439.72,439.4755555555555,23.91304347826087%
26,34.53103446960449,48,440.6,440.4436842105263,22.916666666666664%
27,419.1750328540802,50,440.05,439.89849999999996,24.0%
28,584.2539260387421,51,440.12,439.8817499999999,24.434389140271588%

