Nr tasks 56, Time 4.688078880310059, Makespan 100, Max Temp 499.27, Top 1 percent highs 489.0634814814815 
Nr tasks 57, Time 5.1795995235443115, Makespan 100, Max Temp 499.27, Top 1 percent highs 492.89785185185167 
Nr tasks 58, Time 5.20639181137085, Makespan 100, Max Temp 499.27, Top 1 percent highs 494.1864444444444 
Nr tasks 59, Time 5.339696168899536, Makespan 100, Max Temp 499.49, Top 1 percent highs 496.29048148148166 
Nr tasks 60, Time 5.307940721511841, Makespan 100, Max Temp 499.49, Top 1 percent highs 496.29077777777803 
Nr tasks 61, Time 5.2672131061553955, Makespan 113, Max Temp 499.49, Top 1 percent highs 495.9743278688525 
Nr tasks 62, Time 5.4292685985565186, Makespan 113, Max Temp 499.49, Top 1 percent highs 496.27708196721306 
Nr tasks 63, Time 5.438288688659668, Makespan 113, Max Temp 499.49, Top 1 percent highs 496.31649180327867 
Nr tasks 64, Time 5.6701672077178955, Makespan 113, Max Temp 499.49, Top 1 percent highs 496.32659016393427 
Nr tasks 65, Time 6.136536359786987, Makespan 124, Max Temp 499.49, Top 1 percent highs 496.0100298507465 
Nr tasks 66, Time 6.040824890136719, Makespan 124, Max Temp 499.49, Top 1 percent highs 496.0180895522389 
Nr tasks 67, Time 6.601407289505005, Makespan 124, Max Temp 499.49, Top 1 percent highs 496.1302388059702 
Nr tasks 68, Time 6.612098932266235, Makespan 124, Max Temp 499.49, Top 1 percent highs 496.3643283582086 
Nr tasks 69, Time 6.8833558559417725, Makespan 124, Max Temp 499.49, Top 1 percent highs 496.3659402985069 
Nr tasks 70, Time 7.222950458526611, Makespan 124, Max Temp 499.49, Top 1 percent highs 496.3659999999994 
Nr tasks 71, Time 7.7014830112457275, Makespan 139, Max Temp 499.49, Top 1 percent highs 496.0905599999996 
Nr tasks 72, Time 8.016692638397217, Makespan 139, Max Temp 499.49, Top 1 percent highs 496.0908266666661 
Nr tasks 73, Time 8.29883360862732, Makespan 139, Max Temp 499.49, Top 1 percent highs 496.0909866666661 
Nr tasks 74, Time 8.47512173652649, Makespan 139, Max Temp 499.49, Top 1 percent highs 496.0910933333329 
Nr tasks 75, Time 8.944350957870483, Makespan 139, Max Temp 499.49, Top 1 percent highs 496.0913866666661 
Nr tasks 76, Time 8.849036455154419, Makespan 139, Max Temp 499.49, Top 1 percent highs 496.0934933333332 
Nr tasks 77, Time 9.679281234741211, Makespan 139, Max Temp 499.49, Top 1 percent highs 496.09386666666654 
Nr tasks 78, Time 9.692357301712036, Makespan 139, Max Temp 499.49, Top 1 percent highs 496.09397333333317 
Nr tasks 79, Time 10.027715682983398, Makespan 139, Max Temp 499.49, Top 1 percent highs 496.0942666666666 
Nr tasks 80, Time 10.34166145324707, Makespan 139, Max Temp 499.49, Top 1 percent highs 496.0943466666665 
Nr tasks 81, Time 10.270286083221436, Makespan 139, Max Temp 499.49, Top 1 percent highs 496.0951199999998 
Nr tasks 82, Time 10.768248081207275, Makespan 139, Max Temp 499.49, Top 1 percent highs 496.09530666666643 
Nr tasks 83, Time 11.148855924606323, Makespan 139, Max Temp 499.49, Top 1 percent highs 496.09541333333294 
Nr tasks 84, Time 11.020766258239746, Makespan 139, Max Temp 499.49, Top 1 percent highs 496.09543999999966 
Nr tasks 85, Time 11.086965322494507, Makespan 139, Max Temp 499.49, Top 1 percent highs 496.0962399999996 
Nr tasks 86, Time 11.22558307647705, Makespan 139, Max Temp 499.49, Top 1 percent highs 496.09655999999967 
Nr tasks 87, Time 12.240371704101562, Makespan 139, Max Temp 499.77, Top 1 percent highs 496.18855999999977 
Nr tasks 88, Time 11.429108619689941, Makespan 139, Max Temp 499.77, Top 1 percent highs 496.1885866666664 
Nr tasks 89, Time 11.714014768600464, Makespan 139, Max Temp 499.77, Top 1 percent highs 496.188773333333 
Nr tasks 90, Time 11.85168170928955, Makespan 139, Max Temp 499.77, Top 1 percent highs 496.18890666666636 
Nr tasks 91, Time 12.131785869598389, Makespan 139, Max Temp 499.78, Top 1 percent highs 496.18919999999963 
Nr tasks 92, Time 12.88516640663147, Makespan 139, Max Temp 499.78, Top 1 percent highs 496.1894666666664 
Nr tasks 93, Time 12.937884330749512, Makespan 139, Max Temp 499.78, Top 1 percent highs 496.1896799999997 
Nr tasks 94, Time 13.33325982093811, Makespan 139, Max Temp 501.52, Top 1 percent highs 497.0357866666662 
Nr tasks 95, Time 13.289254665374756, Makespan 139, Max Temp 501.52, Top 1 percent highs 497.07783999999987 
Nr tasks 96, Time 13.527778148651123, Makespan 139, Max Temp 501.52, Top 1 percent highs 497.07789333333324 
Nr tasks 97, Time 13.34583568572998, Makespan 139, Max Temp 518.05, Top 1 percent highs 500.1242666666663 
Nr tasks 98, Time 14.00161600112915, Makespan 139, Max Temp 519.44, Top 1 percent highs 503.48258666666703 
Nr tasks 99, Time 14.19619870185852, Makespan 139, Max Temp 519.44, Top 1 percent highs 505.25397333333365 
Nr tasks 100, Time 14.495888233184814, Makespan 139, Max Temp 519.44, Top 1 percent highs 507.1552533333334 
Nr tasks 100, Time 13.899316549301147, Makespan 139, Max Temp 519.44, Top 1 percent highs 507.1552533333334 
Nr tasks 120, Time 21.740621328353882, Makespan 187, Max Temp 519.44, Top 1 percent highs 511.39629702970296 
Nr tasks 140, Time 36.546295166015625, Makespan 235, Max Temp 519.48, Top 1 percent highs 509.40156151419546 
