Nrtasks,Time,Makespan,MaxTemp
1,1.1566433906555176,15,347.72
2,0.05828356742858887,15,343.57
3,0.10977697372436523,19,345.88
4,0.14841866493225098,19,363.26
5,0.21585631370544434,19,370.25
6,0.3071579933166504,19,380.94
7,0.44166994094848633,19,382.28
8,1.859868049621582,20,400.22
9,4.597897052764893,20,399.46
10,4.609703302383423,25,399.06
11,4.644352674484253,26,399.06
12,4.701944589614868,26,399.09
13,4.7312610149383545,36,399.38
14,4.894333839416504,36,398.84
15,5.028469800949097,36,400.25
16,5.150487184524536,40,398.92
17,23.838279724121094,41,399.73
18,115.96331000328064,41,400.74
19,115.97925162315369,59,400.25
20,116.0121955871582,59,410.3
21,116.04954195022583,59,400.45
22,116.13305306434631,59,400.5
23,116.46606373786926,59,400.68
24,117.34861135482788,59,400.69
25,118.19872617721558,59,400.7
26,145.12748289108276,62,402.88
27,213.09827256202698,66,400.7
28,213.1097400188446,72,400.57
29,213.13844537734985,72,403.96
30,213.18369150161743,82,400.46
31,213.24918603897095,82,400.48
32,213.30480313301086,82,400.51
33,213.5556719303131,82,400.52
34,213.7458257675171,82,400.55
35,214.5388445854187,82,400.58
36,215.6439402103424,82,400.62
37,215.65450429916382,96,400.43
38,215.68255472183228,96,400.44
39,215.72355461120605,96,400.47
40,215.76865935325623,96,400.5
41,215.82865118980408,97,400.52
42,216.10287046432495,101,400.56
43,224.7012197971344,101,400.64
44,239.54534816741943,107,400.62
45,1063.7827529907227,111,400.65
46,1063.7943139076233,113,402.57
47,1063.8279240131378,131,407.07
48,1063.8869853019714,131,400.52
49,1063.9356064796448,131,400.58
50,1064.0595786571503,131,400.59

