Nr tasks 1, Time 0.0032434463500976562, Makespan 15, Max Temp 352.96, Top 1 percent highs 349.76025000000004, GAP 0.0% 
Nr tasks 2, Time 0.0057468414306640625, Makespan 16, Max Temp 346.99, Top 1 percent highs 345.1832558139539, GAP 6.25% 
Nr tasks 3, Time 0.008602380752563477, Makespan 20, Max Temp 350.52, Top 1 percent highs 350.44851851851854, GAP 5.0% 
Nr tasks 4, Time 0.010639429092407227, Makespan 19, Max Temp 354.0, Top 1 percent highs 353.3792156862745, GAP 0.0% 
Nr tasks 5, Time 0.014518976211547852, Makespan 19, Max Temp 383.42, Top 1 percent highs 383.19274509803915, GAP 0.0% 
Nr tasks 6, Time 0.01837635040283203, Makespan 19, Max Temp 368.85, Top 1 percent highs 368.1170588235294, GAP 0.0% 
Nr tasks 7, Time 0.025676488876342773, Makespan 19, Max Temp 369.4, Top 1 percent highs 367.3937254901961, GAP 0.0% 
Nr tasks 8, Time 0.03167867660522461, Makespan 20, Max Temp 395.87, Top 1 percent highs 395.6781481481482, GAP 0.0% 
Nr tasks 9, Time 0.05675220489501953, Makespan 20, Max Temp 416.95, Top 1 percent highs 414.74555555555537, GAP 0.0% 
Nr tasks 10, Time 0.04799199104309082, Makespan 20, Max Temp 405.47, Top 1 percent highs 405.33222222222224, GAP 0.0% 
Nr tasks 11, Time 0.057166337966918945, Makespan 20, Max Temp 421.75, Top 1 percent highs 421.2574074074074, GAP 0.0% 
Nr tasks 12, Time 0.06788516044616699, Makespan 20, Max Temp 425.81, Top 1 percent highs 423.93037037037044, GAP 0.0% 
Nr tasks 13, Time 0.07871818542480469, Makespan 20, Max Temp 447.48, Top 1 percent highs 442.15092592592595, GAP 0.0% 
Nr tasks 14, Time 0.11801004409790039, Makespan 20, Max Temp 446.61, Top 1 percent highs 445.8983333333334, GAP 0.0% 
Nr tasks 15, Time 0.10371065139770508, Makespan 20, Max Temp 428.18, Top 1 percent highs 427.0981481481483, GAP 0.0% 
Nr tasks 16, Time 0.17838716506958008, Makespan 23, Max Temp 435.03, Top 1 percent highs 433.27258064516127, GAP 13.043478260869565% 
Nr tasks 17, Time 0.21807193756103516, Makespan 26, Max Temp 465.38, Top 1 percent highs 464.37014285714275, GAP 23.076923076923077% 
Nr tasks 18, Time 0.6360659599304199, Makespan 25, Max Temp 445.18, Top 1 percent highs 444.81731343283576, GAP 20.0% 
Nr tasks 19, Time 4.763367176055908, Makespan 27, Max Temp 467.17, Top 1 percent highs 466.5136986301369, GAP 22.222221475683014% 
Nr tasks 20, Time 2.403420925140381, Makespan 27, Max Temp 445.14, Top 1 percent highs 444.54520547945197, GAP 22.222222214156368% 
Nr tasks 21, Time 4.106633424758911, Makespan 27, Max Temp 458.87, Top 1 percent highs 458.2191780821918, GAP 22.22221944824184% 
Nr tasks 22, Time 3.8224942684173584, Makespan 27, Max Temp 460.35, Top 1 percent highs 459.7609589041097, GAP 24.211249085185994% 
Nr tasks 23, Time 5.304218292236328, Makespan 30, Max Temp 482.8, Top 1 percent highs 482.03901234567917, GAP 0.0% 
Nr tasks 24, Time 8.805990219116211, Makespan 30, Max Temp 471.78, Top 1 percent highs 462.8428395061729, GAP 23.333333333333332% 
Nr tasks 25, Time 14.837138414382935, Makespan 30, Max Temp 453.92, Top 1 percent highs 453.5537037037035, GAP 23.333333325411107% 
Nr tasks 26, Time 13.655152320861816, Makespan 30, Max Temp 492.05, Top 1 percent highs 490.98827160493823, GAP 23.333333333333332% 
Nr tasks 27, Time 51.485984563827515, Makespan 31, Max Temp 481.1, Top 1 percent highs 475.3918072289157, GAP 19.35483869302803% 
Nr tasks 28, Time 28.857722759246826, Makespan 31, Max Temp 483.44, Top 1 percent highs 477.78072289156603, GAP 19.35483870967742% 
Nr tasks 29, Time 103.72150325775146, Makespan 31, Max Temp 499.88, Top 1 percent highs 498.615542168675, GAP 22.58064516129032% 
Nr tasks 30, Time 141.95555567741394, Makespan 31, Max Temp 487.07, Top 1 percent highs 486.19421686747006, GAP 22.58064516129032% 
Nr tasks 31, Time 449.2712790966034, Makespan 32, Max Temp 495.87, Top 1 percent highs 491.9845348837211, GAP 21.875% 
Nr tasks 32, Time 115.50925874710083, Makespan 32, Max Temp 501.27, Top 1 percent highs 500.6129069767443, GAP 21.875% 
Nr tasks 33, Time 209.88617300987244, Makespan 32, Max Temp 492.78, Top 1 percent highs 489.8595348837211, GAP 21.875% 
Nr tasks 34, Time 615.054105758667, Makespan 33, Max Temp 481.3, Top 1 percent highs 479.91573033707874, GAP 24.242424242424242% 
Nr tasks 35, Time 637.2732186317444, Makespan 32, Max Temp 505.74, Top 1 percent highs 503.7241860465114, GAP 21.875% 
Nr tasks 36, Time 1200.6163895130157, Makespan 33, Max Temp 507.66, Top 1 percent highs 504.23999999999984, GAP 27.27272727272727% 
