Nr tasks 1, Time 1.1391329765319824, Makespan 15, Max Temp 371.47, Avg Temp 334.83746136865335 
Nr tasks 2, Time 0.040216922760009766, Makespan 15, Max Temp 409.61, Avg Temp 340.14522442972776 
Nr tasks 3, Time 0.04970121383666992, Makespan 19, Max Temp 427.72, Avg Temp 357.469621873182 
Nr tasks 4, Time 0.05334305763244629, Makespan 19, Max Temp 435.68, Avg Temp 360.840222997867 
Nr tasks 5, Time 0.056439876556396484, Makespan 19, Max Temp 439.35, Avg Temp 373.8103529183634 
Nr tasks 6, Time 0.0532228946685791, Makespan 19, Max Temp 449.38, Avg Temp 374.9548322668218 
Nr tasks 7, Time 0.050295352935791016, Makespan 19, Max Temp 452.18, Avg Temp 375.9946422338569 
Nr tasks 8, Time 0.06318902969360352, Makespan 20, Max Temp 460.93, Avg Temp 391.6660143725816 
Nr tasks 9, Time 0.05677390098571777, Makespan 20, Max Temp 444.99, Avg Temp 400.16077022295934 
Nr tasks 10, Time 0.05487322807312012, Makespan 20, Max Temp 511.01, Avg Temp 409.8326718260549 
Nr tasks 11, Time 0.060472965240478516, Makespan 20, Max Temp 540.99, Avg Temp 414.9876432651558 
Nr tasks 12, Time 0.05843305587768555, Makespan 20, Max Temp 594.52, Avg Temp 423.34500829187397 
Nr tasks 13, Time 0.061072349548339844, Makespan 20, Max Temp 622.87, Avg Temp 446.2897475585037 
Nr tasks 14, Time 0.062076568603515625, Makespan 20, Max Temp 621.57, Avg Temp 449.52210429334815 
Nr tasks 15, Time 0.059082746505737305, Makespan 20, Max Temp 592.58, Avg Temp 449.97803758982855 
Nr tasks 16, Time 0.05996847152709961, Makespan 20, Max Temp 611.79, Avg Temp 451.7417007554818 
Nr tasks 17, Time 0.06100821495056152, Makespan 20, Max Temp 639.28, Avg Temp 470.10565690068177 
Nr tasks 18, Time 0.06539344787597656, Makespan 20, Max Temp 643.06, Avg Temp 475.72931269578027 
Nr tasks 19, Time 0.06515717506408691, Makespan 20, Max Temp 644.84, Avg Temp 491.7998525889074 
Nr tasks 20, Time 0.06257462501525879, Makespan 20, Max Temp 710.14, Avg Temp 496.54619495117 
Nr tasks 21, Time 0.06821036338806152, Makespan 20, Max Temp 744.29, Avg Temp 518.0908531416989 
Nr tasks 22, Time 0.06510543823242188, Makespan 20, Max Temp 759.93, Avg Temp 532.6475732448865 
Nr tasks 23, Time 0.06704068183898926, Makespan 20, Max Temp 705.15, Avg Temp 543.7923106688778 
Nr tasks 24, Time 0.06630468368530273, Makespan 20, Max Temp 750.28, Avg Temp 556.7461949511702 
Nr tasks 25, Time 0.0735926628112793, Makespan 20, Max Temp 724.1, Avg Temp 561.9766832504147 
Nr tasks 26, Time 0.07152986526489258, Makespan 20, Max Temp 738.77, Avg Temp 580.7793679749401 
Nr tasks 27, Time 0.06641459465026855, Makespan 20, Max Temp 793.9, Avg Temp 589.1419366132302 
Nr tasks 28, Time 0.06781792640686035, Makespan 20, Max Temp 782.16, Avg Temp 593.1871789202137 
Nr tasks 29, Time 0.06881356239318848, Makespan 20, Max Temp 822.57, Avg Temp 604.6578146305509 
Nr tasks 30, Time 0.06954741477966309, Makespan 20, Max Temp 826.69, Avg Temp 621.0953307536394 
