PE_L1_1 PE_L1_2 PE_L1_3 PE_L1_4 PE_L1_5 PE_L1_6 PE_L1_7 PE_L1_8 PE_L1_9 PE_L2_1 PE_L2_2 PE_L2_3 PE_L2_4 PE_L2_5 PE_L2_6 PE_L2_7 PE_L2_8 PE_L2_9 
34 22 36 50 0 25 39 28 28 35 25 38 45 31 28 27 40 39 
34 22 36 50 0 25 39 28 28 35 25 38 45 31 28 27 40 39 
34 22 36 50 0 25 39 28 28 35 25 38 45 31 28 27 40 39 
34 22 36 50 0 25 39 28 28 35 25 38 45 31 28 27 40 39 
34 22 36 50 0 25 39 28 28 35 25 38 45 31 28 27 40 39 
34 22 36 50 0 25 39 28 28 35 25 38 45 31 28 27 40 39 
34 22 36 50 0 25 39 28 28 35 25 38 45 31 28 27 40 39 
34 22 36 50 0 25 39 28 28 35 25 38 45 31 28 27 40 39 
34 27 36 50 0 46 39 20 28 35 25 38 45 31 28 0 40 39 
34 27 36 50 0 46 39 20 28 35 25 38 45 31 28 0 40 39 
34 27 36 50 0 46 39 20 28 35 25 38 45 31 28 0 40 39 
34 27 36 50 0 46 39 20 28 35 25 38 45 31 28 0 40 39 
34 27 36 50 0 46 39 20 28 35 25 38 45 31 28 0 40 39 
34 27 36 50 0 46 39 20 28 35 25 38 45 31 28 0 40 39 
34 27 36 50 0 46 39 20 28 35 25 38 45 31 28 0 40 39 
34 27 36 50 0 46 39 20 28 35 25 38 45 31 28 0 40 39 
34 27 36 50 0 46 39 20 28 35 25 38 45 31 28 0 40 39 
34 27 36 50 0 46 39 20 28 35 25 38 45 31 28 0 40 39 
34 27 0 50 0 46 39 20 28 35 25 38 0 31 28 0 40 39 
34 27 0 50 0 46 39 20 28 35 25 38 0 31 28 0 40 39 
34 27 0 50 0 46 39 20 28 35 25 38 0 31 28 0 40 39 
34 27 0 50 0 46 39 20 28 35 25 38 0 31 28 0 40 39 
34 27 0 50 0 46 39 20 28 35 25 38 0 31 28 0 40 39 
34 27 0 50 0 46 39 20 28 35 25 38 0 31 28 0 40 39 
34 27 0 50 0 46 39 20 28 35 25 38 0 31 28 0 40 39 
34 27 0 50 0 46 39 20 28 35 25 38 0 31 28 0 40 39 
34 27 0 50 0 46 39 20 28 35 25 38 0 31 28 0 40 39 
34 27 0 50 0 46 39 20 28 35 25 38 0 31 28 0 40 39 
34 0 0 50 0 0 39 0 28 35 25 44 0 31 28 0 40 39 
34 0 0 50 0 0 39 0 28 35 25 44 0 31 28 0 40 39 
34 0 0 50 0 0 39 0 28 35 25 44 0 31 28 0 40 39 
34 0 0 50 0 0 39 0 28 35 25 44 0 31 28 0 40 39 
34 0 0 50 0 0 39 0 28 35 25 44 0 31 28 0 40 39 
34 0 0 50 0 0 39 0 28 35 25 44 0 31 28 0 40 39 
34 0 0 50 0 0 39 0 28 35 25 44 0 31 28 0 40 39 
34 0 0 50 0 0 39 0 28 35 25 44 0 31 28 0 40 39 
34 0 0 50 0 0 39 0 28 35 25 44 0 31 28 0 40 39 
34 0 0 50 0 0 39 0 28 35 25 44 0 31 28 0 40 39 
34 0 54 0 0 0 39 0 28 35 25 44 51 31 28 54 40 39 
34 0 54 0 0 0 39 0 28 35 25 44 51 31 28 54 40 39 
34 0 54 0 0 0 39 0 28 35 25 44 51 31 28 54 40 39 
34 0 54 0 0 0 39 0 28 35 25 44 51 31 28 54 40 39 
34 0 54 0 0 0 39 0 28 35 25 44 51 31 28 54 40 39 
34 0 54 0 0 0 39 0 28 35 25 44 51 31 28 54 40 39 
34 0 54 0 0 0 39 0 28 35 25 44 51 31 28 54 40 39 
34 0 54 0 0 0 39 0 28 35 25 44 51 31 28 54 40 39 
34 0 54 0 0 0 39 0 28 35 25 44 51 31 28 54 40 39 
34 0 54 0 0 0 39 0 28 35 25 44 51 31 28 54 40 39 
34 0 54 0 0 0 39 0 28 35 25 44 51 31 28 54 40 39 
34 0 54 0 0 0 39 0 28 35 25 44 51 31 28 54 40 39 
34 0 54 0 0 0 39 0 28 35 25 44 51 31 28 54 40 39 
34 0 54 0 0 0 39 0 28 35 25 44 51 31 28 54 40 39 
