Nrtasks,Time,Makespan,MaxTemp
1,1.104884386062622,15,349.49
2,0.018602371215820312,15,345.99
3,0.028618574142456055,19,350.95
4,0.04310441017150879,19,375.87
5,0.06053352355957031,19,384.74
6,0.07814908027648926,19,388.9
7,0.10242700576782227,19,393.53
8,1.0823314189910889,20,400.0
9,13.575257301330566,34,398.65
10,23.719345331192017,34,396.92
11,23.728456258773804,40,396.87
12,23.735416173934937,40,399.12
13,23.744692087173462,50,396.84
14,23.77700686454773,50,396.87
15,23.993897676467896,50,396.89
16,23.908165454864502,54,398.78
17,26.094775199890137,67,398.05
18,26.701271295547485,67,398.23
19,32.41322469711304,67,398.45
20,123.535884141922,68,399.37
21,123.54169797897339,80,399.37
22,123.54968762397766,80,399.37
23,123.65797543525696,88,401.67
24,123.73766756057739,88,399.37
25,124.26178693771362,88,399.37
26,125.70276951789856,91,399.37
27,124.80324339866638,95,399.51
28,128.2918164730072,95,399.37
29,130.68679094314575,97,399.37
30,135.98607683181763,99,402.44
31,135.99272322654724,102,402.44
32,135.99951100349426,106,402.44
33,136.0158474445343,106,402.44
34,136.20860123634338,107,402.44
35,136.51850938796997,109,402.44
36,136.1233048439026,114,402.44
37,136.75502014160156,114,402.44
38,138.4417018890381,114,402.44
39,151.5601327419281,116,402.44
40,1242.4862489700317,117,402.44
41,1242.4914112091064,132,402.44
42,1242.4987320899963,136,402.44
43,1242.5163006782532,136,402.44
44,1242.521601676941,147,402.44
45,1242.8139779567719,155,402.44
46,1243.3744523525238,155,402.44
47,1245.931444644928,155,403.54
48,1255.2864377498627,162,402.44
49,2070.2788610458374,170,402.44
50,2443.017276763916,170,402.44

