Nrtasks,Time,Makespan,MaxTemp,Avgtemp
0, 0.007439136505126953, 0, 318.15, 318.15000000000003 
10, 0.02153944969177246, 20, 480.56, 413.51342039800994 
20, 0.05441856384277344, 51, 525.08, 395.2020058708415 
30, 0.06900477409362793, 70, 535.94, 400.31840347123153 
40, 0.0775918960571289, 77, 545.8, 408.2356258106356 
50, 0.13728833198547363, 132, 564.95, 393.3641124148374 
60, 0.13351130485534668, 138, 562.6, 403.90988414192617 
70, 0.13929128646850586, 138, 558.03, 415.62021240646874 
80, 0.20009827613830566, 195, 556.19, 400.7974209806932 
90, 0.20240354537963867, 200, 565.38, 404.9903606530066 
100, 0.24667000770568848, 247, 569.46, 397.85408168083126 
110, 0.2844252586364746, 282, 554.28, 395.6944552759062 
120, 0.353656530380249, 336, 562.3, 390.32279455519057 
130, 0.4066915512084961, 385, 567.53, 388.6211098848767 
140, 0.4556114673614502, 418, 567.56, 388.01892828669264 
150, 0.5222561359405518, 462, 568.8, 387.00067734256504 
160, 0.5560131072998047, 513, 580.15, 385.59818472682355 
170, 0.579941987991333, 538, 578.73, 386.18616025521834 
180, 0.634110689163208, 567, 582.65, 385.91492344089903 
190, 0.648449182510376, 578, 598.25, 388.13152525514766 
200, 0.7211945056915283, 610, 596.39, 388.3325428891442 
210, 0.7790536880493164, 672, 590.34, 387.038626320488 
220, 0.8517777919769287, 735, 588.74, 385.7017673332419 
230, 0.8369970321655273, 739, 592.25, 386.96714168132365 
240, 0.9520809650421143, 763, 594.12, 388.17977460359094 
250, 1.0237927436828613, 807, 596.96, 388.0460518110096 
260, 1.1011250019073486, 816, 589.14, 390.1292588735034 
270, 1.0449881553649902, 843, 594.55, 390.46187067568104 
280, 1.0747783184051514, 843, 581.16, 393.11297799786524 
290, 1.126091480255127, 870, 599.35, 393.0439141094892 
300, 1.19728422164917, 929, 587.44, 391.775505507122 
310, 1.2120404243469238, 944, 582.76, 392.65187171203655 
320, 1.2763962745666504, 976, 585.5, 391.99650155380294 
330, 1.3081493377685547, 1006, 596.33, 391.99833780605053 
340, 1.3631768226623535, 1016, 590.81, 393.7509058327596 
350, 1.488511085510254, 1089, 600.42, 391.2851118660672 
360, 1.563387393951416, 1098, 590.99, 392.5675802901987 
370, 1.485318899154663, 1118, 591.76, 393.2543504606038 
380, 1.5162286758422852, 1118, 594.89, 395.3264041677857 
390, 1.532475471496582, 1136, 586.44, 396.21832959246643 
400, 1.6501636505126953, 1178, 590.7, 395.67668420903846 
410, 1.6766512393951416, 1198, 589.41, 396.03413849706584 
420, 1.7105810642242432, 1216, 586.52, 396.9515139242951 
430, 1.766026496887207, 1231, 586.76, 398.3236468063806 
440, 1.8065989017486572, 1237, 592.95, 399.8850474227372 
450, 1.84006667137146, 1272, 603.39, 399.18200606608684 
460, 1.9075946807861328, 1305, 594.54, 398.86044868848035 
470, 1.9427850246429443, 1309, 588.89, 400.11311823644945 
480, 2.1368470191955566, 1326, 600.37, 400.8773367393125 
490, 2.0471463203430176, 1334, 594.47, 401.76719954776223 
500, 2.1436707973480225, 1377, 589.49, 400.58859154503557 
510, 2.359738349914551, 1405, 586.62, 400.6109985647534 
520, 2.325207233428955, 1427, 606.37, 400.752788230212 
530, 2.4589712619781494, 1440, 596.25, 400.9965744855696 
540, 2.4629838466644287, 1481, 597.9, 400.5654250782084 
550, 2.3350558280944824, 1493, 590.13, 401.79923710177985 
560, 2.4310965538024902, 1547, 594.64, 400.86469965311466 
570, 2.4797167778015137, 1573, 604.18, 400.6947811645792 
580, 2.574843406677246, 1595, 592.81, 400.65233574697504 
590, 2.60136079788208, 1630, 596.91, 400.35523280780257 
600, 2.6683249473571777, 1663, 595.87, 400.28765979195344 
610, 2.6674797534942627, 1663, 586.26, 401.3292912833455 
620, 2.7311227321624756, 1668, 589.8, 402.62619462262336 
630, 2.7601029872894287, 1675, 594.61, 403.7150517879524 
640, 2.8747828006744385, 1675, 588.91, 404.4892292997429 
650, 2.9842913150787354, 1705, 592.43, 404.32582795730394 
660, 2.8720319271087646, 1722, 594.76, 404.34576694152446 
670, 2.907017230987549, 1722, 597.49, 405.3519751079105 
680, 3.055236339569092, 1793, 594.0, 404.01369583403056 
690, 3.12504243850708, 1808, 592.82, 404.7343116623343 
700, 3.1706345081329346, 1815, 599.73, 405.456665472976 
710, 3.261939764022827, 1835, 598.95, 405.58599249813716 
720, 3.3652875423431396, 1877, 605.75, 405.218117530588 
730, 3.466465711593628, 1927, 590.35, 404.2454865255216 
740, 3.566272258758545, 1960, 593.52, 404.3508783990612 
750, 3.6094753742218018, 1984, 593.52, 404.0469532785644 
760, 3.679410219192505, 2017, 601.42, 404.08535322988445 
770, 3.7168025970458984, 2030, 596.08, 404.40805247688985 
780, 3.856966733932495, 2059, 599.7, 404.4586773752288 
790, 3.918825387954712, 2078, 601.71, 404.6119163338308 
800, 3.948270320892334, 2106, 587.38, 404.69484461801454 
810, 4.0860772132873535, 2145, 597.53, 404.2304403835108 
820, 4.169976472854614, 2193, 605.13, 403.5504264511428 
830, 4.214703559875488, 2210, 595.27, 403.68764761775554 
840, 4.288258790969849, 2242, 594.53, 403.59439907527195 
850, 4.341332912445068, 2252, 597.08, 404.0757062667444 
860, 4.422774076461792, 2280, 590.85, 404.0122787743241 
870, 4.4883458614349365, 2287, 598.32, 404.89610252430384 
880, 4.545444011688232, 2289, 591.5, 405.44353359398957 
890, 4.728211402893066, 2340, 588.52, 404.91178265173875 
900, 4.754401922225952, 2366, 599.08, 404.93600122564476 
