Nrtasks,Time,Makespan,MaxTemp,Top1percenthighs
1,0.0029554367065429688,15,346.57,346.56999999999994
2,0.003687620162963867,15,349.23,348.81555555555553
3,0.006460428237915039,19,352.24,352.22727272727286
4,0.006947994232177734,19,357.56,357.39272727272726
5,0.00925302505493164,19,387.76,386.53
6,0.011615991592407227,19,390.2,389.93318181818177
7,0.015176534652709961,19,375.09,374.8204545454546
8,0.027967214584350586,20,401.86,401.80541666666676
9,0.07114315032958984,27,410.42,410.243125
10,0.16993165016174316,27,412.85,412.76374999999996
11,0.29216670989990234,27,410.71,410.6181249999999
12,0.3042256832122803,27,414.18,413.25406250000003
13,0.44111013412475586,31,415.67,415.4656756756757
14,0.46753811836242676,31,411.65,411.08459459459465
15,1.311666488647461,34,413.22,412.84075
16,2.2700510025024414,35,425.83,425.2985714285716
17,1.6475484371185303,36,437.0,436.50651162790706
18,2.6616592407226562,36,436.67,436.3304651162791
19,26.922450065612793,38,436.91,436.4722222222223
20,14.73048210144043,38,438.3,438.11155555555547
21,35.27339696884155,40,436.24,435.8279166666666
22,357.13872265815735,40,438.5,438.2972916666665
23,97.29284954071045,45,439.08,438.9201851851852
24,83.63134455680847,45,440.34,440.17351851851856
25,353.6505093574524,45,438.98,438.6611111111111

