Nrtasks,Time,Makespan,MaxTemp
1,0.06389760971069336,15,349.49
2,0.03534507751464844,15,345.99
3,0.04844522476196289,19,350.95
4,0.0588076114654541,19,375.87
5,0.07831311225891113,19,384.74
6,0.10622715950012207,19,388.9
7,0.1346268653869629,19,393.53
8,1.1412327289581299,20,400.0
9,13.01768708229065,34,398.65
10,22.14956545829773,34,396.92
11,23.65741991996765,34,398.58
12,39.410778760910034,34,399.27
13,63.65161323547363,36,398.75
14,106.41310453414917,36,399.52

